21	1975	2	1	6	6	"236/46R"	"US"		22	6	1976	1	"F23N  520"	"F23N"	5	1	19	236	236	3964677	10076985	"IN"	""	69	69		"46R"	"46"	46	0	174365
1	1974	1		4	4	"429/7"	""		22	6	1976	1	"H01M  804"	"H01M"	8	1	2	429	136	3964928		"AL"	""	45	45	7	"7"	"86"	86	0	0
17	1975	2	1	4	4	"429/26"	"US"		22	6	1976	1	"H01M  804"	"H01M"	8	1	7	429	136	3964929	10045844	"CT"	""	45	45	26	"26"	"86"	86	0	597550
3	1974	3	1	4	4	"60/420"	"DT"		29	6	1976	1	"F16D 3102"	"F16D"	31	1	20	60	60	3965682	10042350	""	""	45	45	420	"420"	"420"	420	0	209140
6	1975	1		6	6	"126/521"	""		29	6	1976	1	"F24B  700"	"F24B"	7	1	4	126	126	3965886		"VA"	""	66	66	521	"521"	"121"	121	0	0
5	1974	2	1	4	4	"429/98"	"US"		29	6	1976	1	"H01M  200"	"H01M"	2	1	4	429	136	3966498	10045850	"CT"	""	45	45	98	"98"	"166"	166	0	576095
19	1974	2	1	1	1	"204/202"	"US"		29	6	1976	1	"C25D 1728"	"C25D"	17	1	9	204	204	3966581	10066581	"NJ"	""	19	19	202	"202"	"202"	202	0	45205
10	1974	2	1	1	1	"208/404"	"US"		29	6	1976	1	"C10G  106"	"C10G"	1	1	38	208	208	3966582	10133113	"CA"	""	19	19	404	"404"	"8"	8	0	107140
3	1974	2	1	4	4	"60/572"	"US"		6	7	1976	1	"F15B  710"	"F15B"	7	1	15	60	60	3967447	10067363	"MI"	""	45	45	572	"572"	"572"	572	0	383670
1	1975	1		4	4	"60/487"	""		13	7	1976	1	"F16D 3104"	"F16D"	31	1	10	60	60	3968651		"FL"	""	45	45	487	"487"	"487"	487	0	0
13	1974	2	1	6	6	"126/39J"	"US"		13	7	1976	1	"F24C  304"	"F24C"	3	1	8	126	126	3968785	10068785	"OH"	""	66	66		"39J"	"39"	39	0	560775
3	1975	2	1	4	4	"429/179"	"US"		13	7	1976	1	"H01M  436"	"H01M"	4	1	16	429	136	3969143	12271729	"NY"	""	45	45	179	"179"	"83"	83	0	231445
2	1974	1		4	4	"429/14"	""	12jan1988	13	7	1976	1	"H01M  200"	"H01M"	2	1	14	429	136	3969144		"NJ"	""	45	45	14	"14"	"86"	86	0	0
41	1974	2	1	4		"257/276"	"US"		13	7	1976	1	"H01L 2980"	"H01L"	29	1	15	257	357	3969745	10297519	"TX"	""	46		276	"276"	"22"	22	0	570160
24	1974	1		6	6	"109/56"	""		20	7	1976	1	"A45C  112"	"A45C"	1	1	3	109	109	3970010		"CA"	""	69	69	56	"56"	"56"	56	0	0
68	1975	1		6	6	"126/263.08"	""		20	7	1976	1	"F24J  100"	"F24J"	1	1	2	126	126	3970068		"JP"	""	66	66	263.08	"263.08"	"263"	263	0	0
9	1975	1		6	6	"126/563"	""		20	7	1976	1	"F24J  302"	"F24J"	3	1	4	126	126	3970069		"FL"	""	66	66	563	"563"	"271"	271	0	0
7	1975	2	1	4	4	"429/320"	"US"		20	7	1976	1	"H01M  436"	"H01M"	4	1	3	429	136	3970473	10446448	"NY"	""	45	45	320	"320"	"83"	83	0	218550
8	1975	2	1	1	1	"204/297.14"	"US"		20	7	1976	1	"C25D 1704"	"C25D"	17	1	12	204	204	3970540	11194735	"CT"	""	19	19	297.14	"297.14"	"297"	297	0	571310
11	1974	3	1	5	5	"125/11.03"	"DT"		27	7	1976	1	"B24B 5314"	"B24B"	53	1	15	125	125	3971358	10071358	""	""	51	51	11.03	"11.03"	"11"	11	0	179360
10	1975	6	1	1	1	"48/120"	"US"		27	7	1976	1	"C10B  100"	"C10B"	1	1	12	48	48	3971634	10044638	"DC"	""	13	13	120	"120"	"120"	120	0	597195
10	1974	2	1	1	1	"48/202"	"US"		27	7	1976	1	"C10B  104"	"C10B"	1	1	3	48	48	3971635	10071638	"PA"	""	13	13	202	"202"	"202"	202	0	235355
5	1974	2	1	1	1	"48/202"	"US"		27	7	1976	1	"C10B  104"	"C10B"	1	1	9	48	48	3971636	10071638	"PA"	""	13	13	202	"202"	"202"	202	0	235355
4	1974	2	1	1	1	"48/202"	"US"		27	7	1976	1	"C10B  104"	"C10B"	1	1	4	48	48	3971637	10071638	"PA"	""	13	13	202	"202"	"202"	202	0	235355
4	1974	2	1	1	1	"48/202"	"US"		27	7	1976	1	"C10B  104"	"C10B"	1	1	5	48	48	3971638	10071638	"PA"	""	13	13	202	"202"	"202"	202	0	235355
1	1974	7	1	4	4	"429/5"	"FR"		27	7	1976	1	"H01M  818"	"H01M"	8	1	13	429	136	3971671	10155465	""	""	45	45	5	"5"	"86"	86	0	113470
33	1973	2	1	4	4	"60/743"	"US"		3	8	1976	1	"F02C  324"	"F02C"	3	1	10	60	60	3972182	10446448	"MA"	""	45	45	743	"743"	"39"	39	0	218550
22	1974	2	1	5	5	"123/604"	"US"		3	8	1976	1	"F02P  100"	"F02P"	1	1	4	123	123	3972315	10045362	"MI"	""	53	53	604	"604"	"148"	148	0	219155
8	1975	2	1	6	6	"126/643"	"US"		3	8	1976	1	"F24J  302"	"F24J"	3	1	8	126	126	3972316	10166801	"IL"	""	66	66	643	"643"	"270"	270	0	600400
4	1975	3	1	1	4	"252/182.1"	"FR"		3	8	1976	1	"H01M 3518"	"H01M"	35	1	3	252	136	3972729	10268124	""	""	19	45	182.1	"182.1"	"75"	75	0	95755
1	1975	6	1	4	4	"429/12"	"US"		3	8	1976	1	"H01M  814"	"H01M"	8	1	12	429	136	3972730	10038183	"DC"	""	45	45	12	"12"	"86"	86	0	597270
1	1975	2	1	4	4	"429/231.8"	"US"		3	8	1976	1	"B01K  100"	"B01K"	1	1	16	429	136	3972732	10166801	"IL"	""	45	45	231.8	"231.8"	"86"	86	0	600400
9	1975	1		1	1	"204/671"	""		3	8	1976	1	"B03C  502"	"B03C"	5	1	10	204	204	3972800		"KS"	""	19	19	671	"671"	"302"	302	0	0
1	1975	2	1	1	1	"585/701"	"US"		3	8	1976	1	"C07C  354"	"C07C"	3	1	6	585	260	3972957	10166801	"IL"	""	19	19	701	"701"	"683"	683	0	600400
10	1972	2	1	6	6	"126/21A"	"US"		10	8	1976	1	"A21B  126"	"A21B"	1	1	10	126	126	3973551	10068785	"OH"	""	66	66		"21A"	"21"	21	0	560775
17	1975	2	1	6	6	"126/619"	"US"		10	8	1976	1	"F24J  302"	"F24J"	3	1	10	126	126	3973552	10279693	"CA"	""	66	66	619	"619"	"271"	271	0	480040
2	1974	3	1	1	1	"48/197R"	"DT"		10	8	1976	1	"C10J  100"	"C10J"	1	1	8	48	48	3973923	10289352	""	""	13	13		"197R"	"197"	197	0	322080
1	1974	3	1	4	4	"429/225"	"DT"		10	8	1976	1	"H01M 3520"	"H01M"	35	1	11	429	136	3973992	10050186	""	""	45	45	225	"225"	"55"	55	0	605340
11	1975	2	1	4	4	"429/17"	"US"		10	8	1976	1	"H01M  804"	"H01M"	8	1	16	429	136	3973993	10045844	"CT"	""	45	45	17	"17"	"86"	86	0	597550
2	1971	1		4	4	"429/173"	""		10	8	1976	1	"H01M  204"	"H01M"	2	1	2	429	136	3973995		"JP"	""	45	45	173	"173"	"107"	107	0	0
0	1975	1		4	4	"290/40R"	""		10	8	1976	1	"F03G 1300"	"F03G"	13	1	3	290	290	3974393		"SU"	""	45	45		"40R"	"40"	40	0	0
2	1974	1		4	4	"290/44"	""		10	8	1976	1	"F24J  302"	"F24J"	3	1	7	290	290	3974394		"NY"	""	45	45	44	"44"	"44"	44	0	0
11	1974	1		6	6	"126/25B"	""		17	8	1976	1	"A47J 3707"	"A47J"	37	1	3	126	126	3974821		"MO"	""	66	66		"25B"	"25"	25	0	0
27	1974	2	1	6	6	"126/708"	"US"		17	8	1976	1	"F24J  302"	"F24J"	3	1	9	126	126	3974822	10098135	"PA"	""	66	66	708	"708"	"271"	271	0	450155
8	1975	2	1	6	6	"126/658"	"US"		17	8	1976	1	"F24J  302"	"F24J"	3	1	10	126	126	3974823	10098135	"PA"	""	66	66	658	"658"	"271"	271	0	450155
